"","pol_knowledge","likelihood_vote","know1","know2","know3","know4","know5","know6","know7","know8","know9","know10","general_internet","election_internet","internet_skills","int_attch","int_post","int_blog","int_down","election_newspaper","election_tv","election_radio","female","highest_qual","tertiary_ed","country_birth","aust_born","age","income","rural_urban","interest_pol","age_cat","age_18_24","weight","know1_correct","know2_correct","know3_correct","know4_correct","know5_correct","know6_correct","know7_correct","know8_correct","know9_correct","know10_correct","income_quintiles"
"741",7,5,1,1,2,3,2,2,3,5,3,1,1,3,4,1,1,1,1,4,2,2,0,3,1,1,1,36,22,4,2,3,0,1.63932992551266,1,1,1,0,1,1,1,0,1,0,5
"742",7,5,1,1,1,2,2,NA,3,2,3,3,4,3,4,1,1,1,1,2,2,NA,1,3,1,1,1,73,1,NA,2,6,0,0.713680083584822,1,1,0,0,1,NA,1,1,1,1,1
"743",6,5,1,3,3,2,1,2,3,2,3,3,1,3,3,1,1,NA,1,2,1,4,0,2,1,3,0,41,22,4,2,3,0,1.33131099512729,1,0,0,0,0,1,1,1,1,1,5
"744",8,5,1,3,2,1,2,2,3,2,3,5,1,3,3,1,1,NA,1,2,2,3,1,3,1,1,1,41,15,5,2,3,0,1.26239130236428,1,0,1,1,1,1,1,1,1,0,4
"745",8,5,1,1,1,1,1,2,3,2,3,3,1,3,2,1,1,NA,NA,1,1,1,1,7,0,1,1,63,6,4,1,5,0,0.726049617448173,1,1,0,1,0,1,1,1,1,1,2
"746",3,5,3,1,3,2,1,1,3,5,3,5,1,3,1,1,NA,NA,NA,2,2,2,1,1,0,1,1,44,19,5,2,3,0,1.26239130236428,0,1,0,0,0,0,1,0,1,0,5
"747",5,5,1,2,1,1,1,1,3,2,3,5,2,3,3,1,1,NA,1,2,2,2,1,5,0,1,1,64,17,4,2,5,0,0.726049617448173,1,0,0,1,0,0,1,1,1,0,4
"748",1,3,1,3,3,3,1,3,5,5,5,5,1,5,3,1,1,NA,1,4,2,2,1,3,1,1,1,28,22,4,3,2,0,1.6055916006624,1,0,0,0,0,0,0,0,0,0,5
"749",5,5,1,1,2,2,1,3,4,5,3,3,1,4,4,1,1,1,1,3,3,2,0,3,1,1,1,19,1,4,1,1,1,1.83769082840122,1,1,1,0,0,0,0,0,1,1,1
"750",4,5,NA,1,1,2,1,NA,3,2,3,5,1,3,3,1,NA,1,1,2,2,2,1,6,0,1,1,45,22,4,1,4,0,0.919830408760329,NA,1,0,0,0,NA,1,1,1,0,5
"751",3,4,1,1,1,2,1,1,5,4,3,1,1,5,1,1,NA,NA,NA,4,3,3,1,1,0,1,1,45,8,2,3,4,0,0.919830408760329,1,1,0,0,0,0,0,0,1,0,2
"752",2,5,3,1,1,3,3,3,5,3,3,5,4,5,1,1,NA,NA,NA,2,2,2,1,2,1,1,1,46,16,5,2,4,0,0.919830408760329,0,1,0,0,0,0,0,0,1,0,4
"753",7,5,1,1,3,2,1,2,3,2,3,3,1,3,3,1,1,NA,1,2,2,1,0,3,1,1,1,35,15,5,1,3,0,1.33131099512729,1,1,0,0,0,1,1,1,1,1,4
"754",7,5,1,2,2,2,2,2,3,2,3,1,1,3,4,1,1,1,1,2,1,3,1,3,1,1,1,55,19,5,2,5,0,0.726049617448173,1,0,1,0,1,1,1,1,1,0,5
"755",7,4,1,1,1,1,1,1,3,2,3,3,1,3,3,1,1,NA,1,2,2,2,0,2,1,1,1,51,22,5,2,4,0,0.970048141603624,1,1,0,1,0,0,1,1,1,1,5
"756",0,1,3,3,3,3,3,3,5,5,5,5,2,5,0,NA,NA,NA,NA,3,3,3,0,1,0,1,1,42,6,4,3,3,0,1.34762621822957,0,0,0,0,0,0,0,0,0,0,2
"757",2,5,1,3,3,3,1,1,2,5,5,3,1,2,3,1,1,NA,1,1,1,4,1,2,1,5,0,43,14,1,1,3,0,4.6264998861197,1,0,0,0,0,0,0,0,0,1,4
"758",9,5,1,2,2,1,2,2,3,2,3,3,1,3,1,1,NA,NA,NA,3,2,3,0,5,0,1,1,63,19,5,1,5,0,0.775071484076463,1,0,1,1,1,1,1,1,1,1,5
"759",7,5,1,1,3,1,2,3,3,2,3,5,1,3,3,1,1,NA,1,2,2,3,0,1,0,3,0,66,22,5,1,6,0,0.743531152830054,1,1,0,1,1,0,1,1,1,0,5
"760",3,5,1,2,1,2,1,1,3,2,5,1,7,3,0,NA,NA,NA,NA,1,2,NA,1,1,0,2,0,74,2,5,1,6,0,0.705039816996184,1,0,0,0,0,0,1,1,0,0,1
"761",1,3,3,3,3,3,3,3,3,3,5,5,2,3,1,1,NA,NA,NA,3,1,2,1,5,0,3,0,82,5,5,1,6,0,0.713680083584822,0,0,0,0,0,0,1,0,0,0,2
